Question_Number,Question_Text,Answer_A,Answer_B,Answer_C,Correct_Answer
1,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, nie jest:","broń palna;","broń pneumatyczna;","broń ostra.","C"
2,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, jest:","miotacz gazu obezwładniającego;","miotacz gazu łzawiącego;","miotacz gazu pieprzowego.","A"
3,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, nie jest:","kastet;","nóż;","pałka wykonana z drewna lub innego ciężkiego i twardego materiału, imitująca kij bejsbolowy.","B"
4,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, jest:","broń cięciwowa w postaci łuku;","proca;","broń cięciwowa w postaci kuszy.","C"
5,"(Art. 4 ust. 3) Amunicją, w rozumieniu ustawy o broni i amunicji są:","naboje przeznaczone do strzelania z broni palnej;","naboje przeznaczone do strzelania z broni pneumatycznej;","wszystkie naboje, bez względu na ich przeznaczenie.","A"
6,"(Art. 5 ust. 2) Istotną częścią broni palnej, w rozumieniu ustawy o broni i amunicji, nie jest:","komora zamkowa;","lufa z komorą nabojową;","magazynek.","C"
7,"(Art. 5 ust. 2) Istotną częścią broni palnej, w rozumieniu ustawy o broni i amunicji, jest:","szczerbinka;","sprężyna powrotna;","szkielet broni.","C"
8,"(Art. 5 ust. 2) Istotną częścią broni palnej, w rozumieniu ustawy o broni i amunicji, nie jest:","tłumik;","lufa z komorą nabojową;","zamek.","A"
9,"(Art. 5 ust. 2) Istotną częścią broni palnej, w rozumieniu ustawy o broni i amunicji, nie jest:","baskila;","kolba;","zamek.","B"
10,"(Art. 5 ust. 2) Istotną częścią broni palnej, w rozumieniu ustawy o broni i amunicji, jest:","bęben nabojowy;","rękojeść;","muszka.","A"
11,"(Art. 5 ust. 3) Istotną częścią amunicji, w rozumieniu ustawy o broni i amunicji, jest:","śrut strzelecki;","materiał miotający w postaci prochu strzelniczego;","odpowiedzi a. i b. są nieprawidłowe.","B"
12,"(Art. 5 ust. 3) Istotną częścią amunicji, w rozumieniu ustawy o broni i amunicji, nie jest:","spłonka inicjująca spalanie materiału miotającego;","pocisk wypełniony materiałami wybuchowymi, chemicznymi środkami obezwładniającymi lub zapalającymi albo innymi substancjami, których działanie zagraża życiu lub zdrowiu;","łuska łącząca w całość inne elementy naboju.","C"
13,"(Art. 6 ust. 2) Dokonywanie przeróbek broni zmieniających jej rodzaj, kaliber lub przeznaczenie, bez wymaganego zezwolenia, jest:","wykroczeniem;","przestępstwem;","odpowiedzi a. i b. są nieprawidłowe.","B"
14,"(Art. 6 ust. 2) Dokonywanie przeróbek broni zmieniających jej rodzaj, kaliber lub przeznaczenie, bez wymaganego zezwolenia, jest:","dozwolone wyłącznie wówczas, gdy posiadacz pozwolenia na broń jest uprawniony do posiadania również broni, która powstanie po przeróbce;","zabronione;","dozwolone wyłącznie wówczas, gdy zezwala na to specyfikacja techniczna broni, a dokonana przeróbka nie wpłynie na bezpieczeństwo podczas używania broni.","B"
15,"(Art. 7 ust. 1) Bronią palną, w rozumieniu ustawy o broni i amunicji, jest:","broń lufowa, która jest przenośna;","broń lufowa, która jest stacjonarna;","odpowiedzi a. i b. są prawidłowe.","A"
16,"(Art. 7 ust. 1) Bronią palną, w rozumieniu ustawy o broni i amunicji, jest:","broń, która jest przystosowana do miotania jednego lub większej liczby pocisków w wyniku działania sprężonego gazu;","broń, która jest przystosowana do miotania jednego lub większej liczby pocisków w wyniku działania materiału miotającego;","broń, która jest przystosowana do miotania jednego lub większej liczby pocisków w wyniku działania energii elektrycznej.","B"
17,"(Art. 7 ust. 1) Bronią palną, w rozumieniu ustawy o broni i amunicji nie jest:","strzebla gładkolufowa;","karabinek pneumatyczny;","pistolet sygnałowy.","B"
